Time,Zeroed
423.8,-0.4
424,-0.25
424.2,-0.3
424.4,-0.25
424.6,-0.25
424.8,-0.25
425,-0.25
425.2,-0.05
425.4,-0.4
425.6,-0.1
425.8,-0.2
426,-0.35
426.2,-0.2
426.4,-0.4
426.6,-0.35
426.8,-0.3
427,-0.35
427.2,-0.4
427.4,0
427.6,-0.15
427.8,-0.3
428,-0.35
428.2,-0.4
428.4,-0.2
428.6,-0.15
428.8,-0.2
429,-0.35
429.2,-0.3
429.4,-0.2
429.6,-0.25
429.8,-0.25
430,-0.3
430.2,-0.05
430.4,-0.15
430.6,-0.05
430.8,-0.35
431,-0.4
431.2,-0.2
431.4,-0.35
431.6,-0.35
431.8,-0.2
432,-0.25
432.2,-0.2
432.4,-0.2
432.6,-0.25
432.8,-0.2
433,-0.35
433.2,-0.25
433.4,0.05
433.6,-0.35
433.8,-0.15
434,-0.3
434.2,-0.3
434.4,-0.25
434.6,-0.3
434.8,-0.35
435,-0.15
435.2,-0.05
435.4,-0.25
435.6,0
435.8,-0.35
436,-0.15
436.2,-0.25
436.4,-0.4
436.6,-0.2
436.8,-0.3
437,-0.05
437.2,-0.35
437.4,-0.3
437.6,-0.2
437.8,-0.35
438,-0.15
438.2,-0.15
438.4,-0.4
438.6,-0.3
438.8,-0.45
439,-0.25
439.2,-0.2
439.4,-0.35
439.6,-0.45
439.8,-0.3
440,-0.1
440.2,-0.2
440.4,-0.4
440.6,-0.25
440.8,-0.3
441,-0.25
441.2,-0.35
441.4,-0.3
441.6,-0.2
441.8,-0.35
442,-0.35
442.2,-0.25
442.4,-0.1
442.6,-0.2
